trace_seq,op,addr,val,mask,match,n_driver_sites,driver_site(s),value_check
32398,MAC.MCTRL,,0x04000400,0xffffffff,NONE,,,
32399,MAC.MHF,0x0004,0x0080,0x0080,NONE,,,
32400,MAC.MCTRL,,0x04000400,0xffffffff,NONE,,,
32401,MAC.MCTRL,,0x04000400,0xffffffff,NONE,,,
32402,MAC.MHF,0x0000,0x0100,0x0100,NONE,,,
32403,MAC.MCTRL,,0x04000400,0xffffffff,NONE,,,
32404,PMU.RC,0x0000,0x00000000,0x00000002,NONE,,,
32405,MAC.MCTRL,,0x04000404,0xffffffff,NONE,,,
32406,MAC.MHF,0x0000,0x0000,0x0010,NONE,,,
32407,MAC.MHF,0x0001,0x0000,0x0100,NONE,,,
32408,MAC.MHF,0x0002,0x0000,0x2000,NONE,,,
32409,MAC.MHF,0x0001,0x0000,0x0200,NONE,,,
32410,MAC.MHF,0x0002,0x0000,0x1504,NONE,,,
32411,MAC.MHF,0x0002,0x0000,0x1000,NONE,,,
32412,MAC.MHF,0x0004,0x0000,0x0006,NONE,,,
32413,MAC.MCTRL,,0x04020402,0xffffffff,NONE,,,
32414,MAC.MCTRL,,0x00000000,0x0000c000,NONE,,,
32415,GPIO.CTL,,0x00000000,0x00000000,NONE,,,
32416,MAC.MCTRL,,0x40020000,0x40060000,NONE,,,
32417,PMU.PLL,0x0002,0x00000000,0x00000000,NONE,,,
32418,PMU.PLL,0x0003,0x00000000,0x00000000,NONE,,,
32419,PHY.RD,0x0728,UNDEFINED,,MULTI,2,radio_2069.c:1249 b43_radio_2069_channel_setup;rxiqcal_phy_ac.c:432 b43_phy_ac_rxiq_set_tone,
32420,PHY.RD,0x0408,UNDEFINED,,UNIQUE,1,radio_2069.c:1250 b43_radio_2069_channel_setup,
32421,PHY.WR,0x0415,0x0000,,EXACT,1,radio_2069.c:1253 b43_radio_2069_channel_setup,VAL-OK
32422,PHY.WR,0x040e,0x0000,,EXACT,1,radio_2069.c:1254 b43_radio_2069_channel_setup,VAL-OK
32423,PHY.WR,0x040c,0x2000,,EXACT,1,radio_2069.c:1255 b43_radio_2069_channel_setup,VAL-OK
32424,PHY.WR,0x0408,0x0c00,,EXACT,6,radio_2069.c:1256 b43_radio_2069_channel_setup;radio_2069.c:1264 b43_radio_2069_channel_setup;radio_2069.c:1269 b43_radio_2069_channel_setup,VAL-OK
32425,PHY.WR,0x0417,0x0000,,EXACT,4,phy_ac.c:3399 b43_phy_ac_set_channel;radio_2069.c:1257 b43_radio_2069_channel_setup,VAL-OK
