trace_seq,op,addr,val,mask,match,n_driver_sites,driver_site(s),value_check
50410,PMU.RC,0x0000,0x00000000,0x00000002,NONE,,,
50418,GPIO.CTL,,0x00000000,0x00000000,NONE,,,
51260,PMU.PLL,0x0002,0x00000000,0x00000000,NONE,,,
51261,PMU.PLL,0x0003,0x00000000,0x00000000,NONE,,,
51262,PHY.RD,0x0728,UNDEFINED,,UNIQUE,1,radio_2069.c:1226 b43_radio_2069_channel_setup,
51263,PHY.RD,0x0408,UNDEFINED,,UNIQUE,1,radio_2069.c:1227 b43_radio_2069_channel_setup,
51264,PHY.WR,0x0415,0x0000,,EXACT,1,radio_2069.c:1230 b43_radio_2069_channel_setup,VAL-OK
51265,PHY.WR,0x040e,0x0000,,EXACT,1,radio_2069.c:1231 b43_radio_2069_channel_setup,VAL-OK
51266,PHY.WR,0x040c,0x2000,,EXACT,1,radio_2069.c:1232 b43_radio_2069_channel_setup,VAL-OK
51267,PHY.WR,0x0408,0x0c00,,EXACT,6,radio_2069.c:1233 b43_radio_2069_channel_setup;radio_2069.c:1241 b43_radio_2069_channel_setup;radio_2069.c:1246 b43_radio_2069_channel_setup,VAL-OK
51268,PHY.WR,0x0417,0x0000,,EXACT,4,phy_ac.c:2112 b43_phy_ac_set_channel;radio_2069.c:1234 b43_radio_2069_channel_setup,VAL-OK
51269,PHY.WR,0x0416,0x000d,,EXACT,2,radio_2069.c:1235 b43_radio_2069_channel_setup,VAL-OK
51270,PHY.WR,0x0728,0x0000,,MULTI,3,radio_2069.c:1238 b43_radio_2069_channel_setup;radio_2069.c:1291 b43_radio_2069_channel_setup;radio_2069.c:1294 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51271,PHY.RD,0x0720,UNDEFINED,,UNIQUE,1,radio_2069.c:1239 b43_radio_2069_channel_setup,
51272,PHY.WR,0x0720,0x03ff,,EXACT,1,radio_2069.c:1240 b43_radio_2069_channel_setup,VAL-OK
51273,PHY.WR,0x0408,0x0c00,,EXACT,6,radio_2069.c:1233 b43_radio_2069_channel_setup;radio_2069.c:1241 b43_radio_2069_channel_setup;radio_2069.c:1246 b43_radio_2069_channel_setup,VAL-OK
51274,PHY.WR,0x0408,0x0c01,,EXACT,6,radio_2069.c:1245 b43_radio_2069_channel_setup,VAL-OK
51276,PHY.WR,0x0408,0x0c00,,EXACT,6,radio_2069.c:1233 b43_radio_2069_channel_setup;radio_2069.c:1241 b43_radio_2069_channel_setup;radio_2069.c:1246 b43_radio_2069_channel_setup,VAL-OK
51277,RAD.WR,0x063a,0x0000,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51278,RAD.WR,0x063d,0x000f,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51279,RAD.WR,0x0645,0x3000,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51280,RAD.WR,0x0646,0x0303,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51281,RAD.WR,0x0647,0x36e2,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51282,RAD.WR,0x0649,0x6000,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51283,RAD.WR,0x064a,0x0003,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51284,RAD.WR,0x065e,0x0ff4,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51285,RAD.WR,0x0666,0x0b2d,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51286,RAD.WR,0x0667,0x03ff,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51287,RAD.WR,0x0115,0x3337,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51288,RAD.WR,0x0117,0x1337,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51289,RAD.WR,0x0718,0x7777,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51290,RAD.WR,0x071c,0x1000,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51291,RAD.WR,0x0726,0x0100,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51292,RAD.WR,0x0727,0x0002,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51293,RAD.WR,0x0761,0x0100,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
51294,RAD.WR,0x0407,0x8382,,MULTI,2,radio_2069.c:882 b43_radio_2069_channel_setup;radio_2069.c:1210 b43_radio_2069_channel_setup,VAL-UNRESOLVED
