class,op,addr,v_36_20,v_44_20,v_36_40,v_36_80
DYN-runtime,GPIO.OUT,-,DYN,DYN,DYN,DYN
DYN-runtime,MAC.MHF,0x0000,DYN,DYN,DYN,DYN
DYN-runtime,MAC.MHF,0x0001,DYN,DYN,DYN,DYN
DYN-runtime,MAC.MHF,0x0002,DYN,DYN,DYN,DYN
DYN-runtime,MAC.MHF,0x0003,DYN,DYN,DYN,DYN
DYN-runtime,MAC.MHF,0x0004,DYN,DYN,DYN,DYN
DYN-runtime,PHY.AND,0x0382,DYN,DYN,DYN,DYN
DYN-runtime,PHY.AND,0x0460,DYN,DYN,DYN,DYN
baseline,PHY.AND,0x0471,0xfffe,0xfffe,0xfffe,0xfffe
baseline,PHY.AND,0x06d4,0xbfff,0xbfff,0xbfff,0xbfff
baseline,PHY.AND,0x08d4,0xbfff,0xbfff,0xbfff,0xbfff
baseline,PHY.AND,0x0ad4,0xbfff,0xbfff,0xbfff,0xbfff
DYN-runtime,PHY.MOD,0x0001,DYN,DYN,DYN,DYN
baseline,PHY.MOD,0x0003,0x0100,0x0100,0x0100,0x0100
baseline,PHY.MOD,0x0042,0x8000,0x8000,0x8000,0x8000
DYN-runtime,PHY.MOD,0x0070,DYN,DYN,DYN,DYN
DYN-runtime,PHY.MOD,0x0071,DYN,DYN,DYN,DYN
DYN-runtime,PHY.MOD,0x0072,DYN,DYN,DYN,DYN
width-only,PHY.MOD,0x0076,0x0001,0x0001,0x0002,0x0003
width-only,PHY.MOD,0x0140,0x0800,0x0800,0x0000,0x0000
baseline,PHY.MOD,0x0160,0x0003,0x0003,0x0003,0x0003
DYN-runtime,PHY.MOD,0x0164,DYN,DYN,0x0000,0x0000
baseline,PHY.MOD,0x016c,0x0040,0x0040,0x0040,0x0040
DYN-runtime,PHY.MOD,0x016e,DYN,DYN,DYN,DYN
width-only,PHY.MOD,0x0180,0x0015,0x0015,0x000b,0x0005
width-only,PHY.MOD,0x0181,0x0146,0x0146,0x0181,0x017a
width-only,PHY.MOD,0x0182,0x0088,0x0088,0x005a,0x009e
width-only,PHY.MOD,0x0183,0x0146,0x0146,0x0181,0x017a
width-only,PHY.MOD,0x0184,0x076e,0x076e,0x0793,0x07ca
width-only,PHY.MOD,0x0185,0x01a8,0x01a8,0x01b7,0x01b2
width-only,PHY.MOD,0x0186,0x00a3,0x00a3,0x00c1,0x00bd
width-only,PHY.MOD,0x0187,0x00f4,0x00f4,0x0102,0x0114
width-only,PHY.MOD,0x0188,0x00a3,0x00a3,0x00c1,0x00bd
width-only,PHY.MOD,0x0189,0x0684,0x0684,0x06c0,0x06d6
width-only,PHY.MOD,0x018a,0x00ad,0x00ad,0x00a9,0x00a2
width-only,PHY.MOD,0x018b,0x00e5,0x00e5,0x0162,0x016c
width-only,PHY.MOD,0x018c,0x0068,0x0068,0x0042,0x006f
width-only,PHY.MOD,0x018d,0x00e5,0x00e5,0x0162,0x016c
width-only,PHY.MOD,0x018e,0x06be,0x06be,0x075c,0x0793
width-only,PHY.MOD,0x018f,0x019e,0x019e,0x01b3,0x01b2
width-only,PHY.MOD,0x0190,0x0073,0x0073,0x00b1,0x00b6
width-only,PHY.MOD,0x0191,0x00b2,0x00b2,0x00ed,0x00ff
width-only,PHY.MOD,0x0192,0x0073,0x0073,0x00b1,0x00b6
width-only,PHY.MOD,0x0193,0x05fe,0x05fe,0x0692,0x06b4
width-only,PHY.MOD,0x0194,0x00cc,0x00cc,0x00af,0x00a8
DYN-runtime,PHY.MOD,0x019e,DYN,DYN,DYN,DYN
DYN-runtime,PHY.MOD,0x01b0,DYN,DYN,DYN,DYN
baseline,PHY.MOD,0x01b1,0x1000,0x1000,0x1000,0x1000
width-only,PHY.MOD,0x01b5,0x0097,0x0097,0x008b,0x0097
baseline,PHY.MOD,0x01b6,0x0000,0x0000,0x0000,0x0000
baseline,PHY.MOD,0x01ca,0x0000,0x0000,0x0000,0x0000
partial-presence,PHY.MOD,0x0210,,,,0x0004
DYN-runtime,PHY.MOD,0x0211,0x0000,0x0000,0x0000,DYN
partial-presence,PHY.MOD,0x0212,,,,0x000a
width-only,PHY.MOD,0x0250,0x0019,0x0019,0x0032,0x0032
