fam,addr,class,decorrelation_class
PHY,0x0001,OP-MISMATCH,DYN-runtime
PHY,0x0910,OP-MISMATCH,DYN-runtime
PHY,0x0911,OP-MISMATCH,DYN-runtime
PHY,0x0912,OP-MISMATCH,DYN-runtime
PHY,0x0913,OP-MISMATCH,DYN-runtime
PHY,0x0140,PORT-EXTRA,DYN-runtime
PHY,0x0402,PORT-EXTRA,DYN-runtime
PHY,0x0272,VAL-DIFF,DYN-runtime
PHY,0x031c,VAL-DIFF,width-only
PHY,0x031d,VAL-DIFF,width-only
PHY,0x031e,VAL-DIFF,width-only
PHY,0x031f,VAL-DIFF,width-only
PHY,0x0394,VAL-DIFF,DYN-runtime
PHY,0x0400,VAL-DIFF,DYN-runtime
PHY,0x06a1,VAL-DIFF,DYN-runtime
PHY,0x0728,VAL-DIFF,DYN-runtime
PHY,0x08a0,VAL-DIFF,DYN-runtime
PHY,0x08a1,VAL-DIFF,DYN-runtime
PHY,0x1725,VAL-DIFF,DYN-runtime
PHY,0x173a,VAL-DIFF,DYN-runtime
RAD,0x0003,VAL-DIFF,DYN-runtime
RAD,0x0203,VAL-DIFF,DYN-runtime
RAD,0x0412,VAL-DIFF,DYN-runtime
PHY,0x0025,OK,baseline
PHY,0x0026,OK,baseline
PHY,0x0070,OK,DYN-runtime
PHY,0x0071,OK,DYN-runtime
PHY,0x0072,OK,DYN-runtime
PHY,0x0076,OK,width-only
PHY,0x0160,OK,baseline
PHY,0x0164,OK,DYN-runtime
PHY,0x016e,OK,DYN-runtime
PHY,0x016f,OK,baseline
PHY,0x0170,OK,baseline
PHY,0x0180,OK,width-only
PHY,0x01b0,OK,DYN-runtime
PHY,0x01b1,OK,baseline
PHY,0x01b5,OK,width-only
PHY,0x01b6,OK,baseline
PHY,0x01ca,OK,baseline
PHY,0x01e6,OK,baseline
PHY,0x01ec,OK,baseline
PHY,0x01f2,OK,baseline
PHY,0x0270,OK,DYN-runtime
PHY,0x0271,OK,baseline
PHY,0x02eb,OK,baseline
PHY,0x02ed,OK,DYN-runtime
PHY,0x02ef,OK,baseline
PHY,0x02f1,OK,DYN-runtime
PHY,0x02f3,OK,baseline
PHY,0x02f5,OK,DYN-runtime
PHY,0x02f7,OK,baseline
PHY,0x02f9,OK,DYN-runtime
PHY,0x030f,OK,width-only
PHY,0x0339,OK,DYN-runtime
PHY,0x0358,OK,baseline
PHY,0x0359,OK,baseline
PHY,0x035a,OK,baseline
PHY,0x0382,OK,DYN-runtime
PHY,0x0393,OK,DYN-runtime
PHY,0x03a9,OK,DYN-runtime
PHY,0x0401,OK,baseline
PHY,0x0408,OK,DYN-runtime
PHY,0x040c,OK,baseline
PHY,0x040e,OK,baseline
