    700.915000 #1        cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
    700.915000 #2        cpu1 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
    700.915000 #3        cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
    700.916000 #4        cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
    700.916000 #5        cpu1 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
    700.917000 #6        cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
    700.917000 #7        cpu1 PMU.RC   addr=0x0000 val=0x00000000 mask=0x00000002
    700.917000 #8        cpu1 MAC.MCTRL val=0x04000404 mask=0xffffffff
    700.917000 #9        cpu1 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
    700.917000 #10       cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
    700.917000 #11       cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
    700.917000 #12       cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
    700.917000 #13       cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
    700.918000 #14       cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
    700.918000 #15       cpu1 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
    700.918000 #16       cpu1 MAC.MCTRL val=0x04020402 mask=0xffffffff
    700.918000 #17       cpu1 MAC.MCTRL val=0x00000000 mask=0x0000c000
    700.918000 #18       cpu1 GPIO.CTL val=0x00000000 mask=0x00000000
    701.002000 #19       cpu1 MAC.MCTRL val=0x40020000 mask=0x40060000
    701.014000 #20       cpu1 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
    701.014000 #21       cpu1 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
    701.014000 #22       cpu1 PHY.RD   addr=0x0728 val=UNDEFINED
    701.014000 #23       cpu1 PHY.RD   addr=0x0408 val=UNDEFINED
    701.014000 #24       cpu1 PHY.WR   addr=0x0415 val=0x0000
    701.015000 #25       cpu1 PHY.WR   addr=0x040e val=0x0000
    701.015000 #26       cpu1 PHY.WR   addr=0x040c val=0x2000
    701.015000 #27       cpu1 PHY.WR   addr=0x0408 val=0x0c00
    701.015000 #28       cpu1 PHY.WR   addr=0x0417 val=0x0000
    701.015000 #29       cpu1 PHY.WR   addr=0x0416 val=0x000d
    701.015000 #30       cpu1 PHY.WR   addr=0x0728 val=0x0000
    701.015000 #31       cpu1 PHY.RD   addr=0x0720 val=UNDEFINED
    701.016000 #32       cpu1 PHY.WR   addr=0x0720 val=0x03ff
    701.016000 #33       cpu1 PHY.WR   addr=0x0408 val=0x0c00
    701.016000 #34       cpu1 PHY.WR   addr=0x0408 val=0x0c01
    701.016000 #35       cpu1 PHY.WR   addr=0x0408 val=0x0c00
    701.016000 #36       cpu1 RAD.WR   addr=0x063a val=0x0000
    701.016000 #37       cpu1 RAD.WR   addr=0x063d val=0x000f
    701.016000 #38       cpu1 RAD.WR   addr=0x0645 val=0x3000
    701.017000 #39       cpu1 RAD.WR   addr=0x0646 val=0x0303
    701.017000 #40       cpu1 RAD.WR   addr=0x0647 val=0x36e2
    701.017000 #41       cpu1 RAD.WR   addr=0x0649 val=0x6000
    701.017000 #42       cpu1 RAD.WR   addr=0x064a val=0x0003
    701.017000 #43       cpu1 RAD.WR   addr=0x065e val=0x0ff4
    701.017000 #44       cpu1 RAD.WR   addr=0x0666 val=0x0b2d
    701.017000 #45       cpu1 RAD.WR   addr=0x0667 val=0x03ff
    701.017000 #46       cpu1 RAD.WR   addr=0x0115 val=0x3337
    701.017000 #47       cpu1 RAD.WR   addr=0x0117 val=0x1337
    701.018000 #48       cpu1 RAD.WR   addr=0x0718 val=0x7777
    701.018000 #49       cpu1 RAD.WR   addr=0x071c val=0x1000
    701.018000 #50       cpu1 RAD.WR   addr=0x0726 val=0x0100
    701.018000 #51       cpu1 RAD.WR   addr=0x0727 val=0x0002
    701.018000 #52       cpu1 RAD.WR   addr=0x0761 val=0x0100
    701.018000 #53       cpu1 RAD.WR   addr=0x0407 val=0x8382
    701.018000 #54       cpu1 RAD.WR   addr=0x055e val=0x0020
    701.018000 #55       cpu1 RAD.WR   addr=0x0885 val=0x0700
    701.018000 #56       cpu1 RAD.WR   addr=0x08e9 val=0x01ce
    701.019000 #57       cpu1 RAD.WR   addr=0x08ea val=0x00ff
    701.019000 #58       cpu1 RAD.WR   addr=0x08ec val=0x06ff
    701.019000 #59       cpu1 RAD.WR   addr=0x0972 val=0x0600
    701.019000 #60       cpu1 RAD.MOD  addr=0x096b val=0x0800 mask=0x0800
    701.019000 #61       cpu1 RAD.RD   addr=0x096b val=UNDEFINED
    701.019000 #62       cpu1 RAD.WR   addr=0x096b val=0x0800
    701.019000 #63       cpu1 RAD.MOD  addr=0x096b val=0x4000 mask=0x4000
    701.019000 #64       cpu1 RAD.RD   addr=0x096b val=UNDEFINED
    701.019000 #65       cpu1 RAD.WR   addr=0x096b val=0x4800
    701.019000 #66       cpu1 RAD.MOD  addr=0x096c val=0x0800 mask=0x0800
    701.019000 #67       cpu1 RAD.RD   addr=0x096c val=UNDEFINED
    701.020000 #68       cpu1 RAD.WR   addr=0x096c val=0x0800
    701.020000 #69       cpu1 RAD.MOD  addr=0x096b val=0x8000 mask=0x8000
    701.020000 #70       cpu1 RAD.RD   addr=0x096b val=UNDEFINED
    701.020000 #71       cpu1 RAD.WR   addr=0x096b val=0xc800
    701.020000 #72       cpu1 RAD.MOD  addr=0x096b val=0x1000 mask=0x1000
    701.020000 #73       cpu1 RAD.RD   addr=0x096b val=UNDEFINED
    701.020000 #74       cpu1 RAD.WR   addr=0x096b val=0xd800
    701.020000 #75       cpu1 RAD.MOD  addr=0x096b val=0x0004 mask=0x0004
    701.020000 #76       cpu1 RAD.RD   addr=0x096b val=UNDEFINED
    701.020000 #77       cpu1 RAD.WR   addr=0x096b val=0xd804
    701.020000 #78       cpu1 RAD.MOD  addr=0x0407 val=0x0002 mask=0x0002
    701.020000 #79       cpu1 RAD.RD   addr=0x0407 val=UNDEFINED
    701.020000 #80       cpu1 RAD.WR   addr=0x0407 val=0x8302
    701.020000 #81       cpu1 RAD.MOD  addr=0x055e val=0x0010 mask=0x0010
    701.020000 #82       cpu1 RAD.RD   addr=0x055e val=UNDEFINED
