    915.803000 #82809    cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
    915.803000 #82810    cpu0 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
    915.803000 #82811    cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
    915.805000 #82812    cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
    915.805000 #82813    cpu0 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
    915.806000 #82814    cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
    915.808000 #82815    cpu0 PMU.RC   addr=0x0000 val=0x00000000 mask=0x00000002
    915.808000 #82816    cpu0 MAC.MCTRL val=0x04000404 mask=0xffffffff
    915.808000 #82817    cpu0 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
    915.808000 #82818    cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
    915.808000 #82819    cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
    915.808000 #82820    cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
    915.808000 #82821    cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
    915.808000 #82822    cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
    915.808000 #82823    cpu0 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
    915.808000 #82824    cpu0 MAC.MCTRL val=0x04020402 mask=0xffffffff
    915.809000 #82825    cpu0 MAC.MCTRL val=0x00000000 mask=0x0000c000
    915.809000 #82826    cpu0 GPIO.CTL val=0x00000000 mask=0x00000000
    915.906000 #82828    cpu0 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
    915.906000 #82829    cpu0 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
    915.906000 #82830    cpu0 PHY.RD   addr=0x0728 val=UNDEFINED
    915.906000 #82831    cpu0 PHY.RD   addr=0x0408 val=UNDEFINED
    915.906000 #82832    cpu0 PHY.WR   addr=0x0415 val=0x0000
    915.907000 #82833    cpu0 PHY.WR   addr=0x040e val=0x0000
    915.907000 #82834    cpu0 PHY.WR   addr=0x040c val=0x2000
    915.907000 #82835    cpu0 PHY.WR   addr=0x0408 val=0x0c00
    915.907000 #82836    cpu0 PHY.WR   addr=0x0417 val=0x0000
    915.907000 #82837    cpu0 PHY.WR   addr=0x0416 val=0x000d
    915.908000 #82838    cpu0 PHY.WR   addr=0x0728 val=0x0000
    915.908000 #82839    cpu0 PHY.RD   addr=0x0720 val=UNDEFINED
    915.908000 #82840    cpu0 PHY.WR   addr=0x0720 val=0x03ff
    915.908000 #82841    cpu0 PHY.WR   addr=0x0408 val=0x0c00
    915.908000 #82842    cpu0 PHY.WR   addr=0x0408 val=0x0c01
    915.909000 #82843    cpu0 PHY.WR   addr=0x0408 val=0x0c00
    915.909000 #82844    cpu0 RAD.WR   addr=0x063a val=0x0000
    915.910000 #82845    cpu0 RAD.WR   addr=0x063d val=0x000f
    915.910000 #82846    cpu0 RAD.WR   addr=0x0645 val=0x3000
    915.910000 #82847    cpu0 RAD.WR   addr=0x0646 val=0x0303
    915.910000 #82848    cpu0 RAD.WR   addr=0x0647 val=0x36e2
    915.911000 #82849    cpu0 RAD.WR   addr=0x0649 val=0x6000
    915.911000 #82850    cpu0 RAD.WR   addr=0x064a val=0x0003
    915.911000 #82851    cpu0 RAD.WR   addr=0x065e val=0x0ff4
    915.912000 #82852    cpu1 RAD.WR   addr=0x0666 val=0x0b2d
    915.912000 #82853    cpu1 RAD.WR   addr=0x0667 val=0x03ff
    915.912000 #82854    cpu1 RAD.WR   addr=0x0115 val=0x3337
    915.912000 #82855    cpu1 RAD.WR   addr=0x0117 val=0x1337
