    852.939000 #57918    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
    852.941000 #57920    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
    852.941000 #57921    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
    852.942000 #57922    cpu1 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
    852.942000 #57923    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
    852.943000 #57924    cpu1 PMU.RC   addr=0x0000 val=0x00000000 mask=0x00000002
    852.943000 #57925    cpu1 MAC.MCTRL val=0x04000404 mask=0xffffffff
    852.943000 #57926    cpu1 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
    852.943000 #57927    cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
    852.943000 #57928    cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
    852.943000 #57929    cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
    852.943000 #57930    cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
    852.943000 #57931    cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
    852.943000 #57932    cpu1 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
    852.943000 #57933    cpu1 MAC.MCTRL val=0x04020402 mask=0xffffffff
    852.943000 #57934    cpu1 MAC.MCTRL val=0x00000000 mask=0x0000c000
    852.943000 #57935    cpu1 GPIO.CTL val=0x00000000 mask=0x00000000
    853.024000 #57936    cpu1 MAC.MCTRL val=0x40020000 mask=0x40060000
    853.033000 #57937    cpu1 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
    853.033000 #57938    cpu1 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
    853.034000 #57939    cpu1 PHY.RD   addr=0x0728 val=UNDEFINED
    853.034000 #57940    cpu1 PHY.RD   addr=0x0408 val=UNDEFINED
    853.034000 #57941    cpu1 PHY.WR   addr=0x0415 val=0x0000
    853.034000 #57942    cpu1 PHY.WR   addr=0x040e val=0x0000
    853.034000 #57943    cpu1 PHY.WR   addr=0x040c val=0x2000
    853.034000 #57944    cpu1 PHY.WR   addr=0x0408 val=0x0c00
    853.034000 #57945    cpu1 PHY.WR   addr=0x0417 val=0x0000
