    793.140000 #1        cpu1 GPIO.OUT val=0x00000000 mask=0x00000407
    793.140000 #2        cpu1 GPIO.OE  val=0x00000000 mask=0x00000407
    810.928000 #3        cpu1 PMU.PLL  addr=0x0002 val=0x00000c31 mask=0xffffffff
    810.928000 #4        cpu1 PMU.PLL  addr=0x0003 val=0x0000100e mask=0xffffffff
    810.938000 #5        cpu1 PHY.RD   addr=0x000b val=UNDEFINED
    810.947000 #6        cpu1 PHY.RD   addr=0x0739 val=UNDEFINED
    810.947000 #7        cpu1 PHY.RD   addr=0x073a val=UNDEFINED
    810.947000 #8        cpu1 PHY.RD   addr=0x0725 val=UNDEFINED
    810.947000 #9        cpu1 PHY.RD   addr=0x0729 val=UNDEFINED
    810.947000 #10       cpu1 PHY.RD   addr=0x0721 val=UNDEFINED
    810.947000 #11       cpu1 PHY.RD   addr=0x0728 val=UNDEFINED
    810.947000 #12       cpu1 PHY.RD   addr=0x0720 val=UNDEFINED
    810.947000 #13       cpu1 PHY.RD   addr=0x0408 val=UNDEFINED
    810.947000 #14       cpu1 PHY.RD   addr=0x0417 val=UNDEFINED
    810.947000 #15       cpu1 PHY.RD   addr=0x0416 val=UNDEFINED
    810.973000 #16       cpu1 PHY.WR   addr=0x173e val=0x0000
    810.973000 #17       cpu1 PHY.WR   addr=0x1739 val=0x0000
    810.973000 #18       cpu1 PHY.WR   addr=0x173a val=0x0000
    810.973000 #19       cpu1 PHY.WR   addr=0x1725 val=0x1fff
    810.973000 #20       cpu1 PHY.WR   addr=0x1729 val=0x0000
    810.973000 #21       cpu1 PHY.WR   addr=0x1721 val=0xffff
    810.973000 #22       cpu1 PHY.WR   addr=0x1728 val=0x0000
    810.973000 #23       cpu1 PHY.WR   addr=0x1720 val=0x03ff
    810.973000 #24       cpu1 PHY.MOD  addr=0x0408 val=0x0000 mask=0x0002
    810.973000 #25       cpu1 PHY.WR   addr=0x0417 val=0x0000
    810.973000 #26       cpu1 PHY.WR   addr=0x0416 val=0x0001
