   1310.400000 #55155    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1310.401000 #55156    cpu1 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
   1310.401000 #55157    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1310.401000 #55158    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1310.401000 #55159    cpu1 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
   1310.401000 #55160    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1310.402000 #55161    cpu1 PMU.RC   addr=0x0000 val=0x00000000 mask=0x00000002
   1310.402000 #55162    cpu1 MAC.MCTRL val=0x04000404 mask=0xffffffff
   1310.402000 #55163    cpu1 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
   1310.402000 #55164    cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
   1310.402000 #55165    cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
   1310.402000 #55166    cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
   1310.402000 #55167    cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
   1310.402000 #55168    cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
   1310.402000 #55169    cpu1 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
   1310.402000 #55170    cpu1 MAC.MCTRL val=0x04020402 mask=0xffffffff
   1310.402000 #55171    cpu1 MAC.MCTRL val=0x00000000 mask=0x0000c000
   1310.402000 #55172    cpu1 GPIO.CTL val=0x00000000 mask=0x00000000
   1310.413000 #55173    cpu1 MAC.MCTRL val=0x40020000 mask=0x40060000
   1310.421000 #55174    cpu1 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
   1310.421000 #55175    cpu1 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
   1310.421000 #55176    cpu1 PHY.RD   addr=0x0728 val=UNDEFINED
   1310.421000 #55177    cpu1 PHY.RD   addr=0x0408 val=UNDEFINED
   1310.421000 #55178    cpu1 PHY.WR   addr=0x0415 val=0x0000
   1310.421000 #55179    cpu1 PHY.WR   addr=0x040e val=0x0000
   1310.421000 #55180    cpu1 PHY.WR   addr=0x040c val=0x2000
   1310.421000 #55181    cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1310.421000 #55182    cpu1 PHY.WR   addr=0x0417 val=0x0000
   1310.421000 #55183    cpu1 PHY.WR   addr=0x0416 val=0x000d
   1310.421000 #55184    cpu1 PHY.WR   addr=0x0728 val=0x0000
   1310.421000 #55185    cpu1 PHY.RD   addr=0x0720 val=UNDEFINED
   1310.421000 #55186    cpu1 PHY.WR   addr=0x0720 val=0x03ff
   1310.421000 #55187    cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1310.421000 #55188    cpu1 PHY.WR   addr=0x0408 val=0x0c01
   1310.421000 #55189    cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1310.421000 #55190    cpu1 RAD.WR   addr=0x063a val=0x0000
   1310.421000 #55191    cpu1 RAD.WR   addr=0x063d val=0x000f
   1310.421000 #55192    cpu1 RAD.WR   addr=0x0645 val=0x3000
   1310.421000 #55193    cpu1 RAD.WR   addr=0x0646 val=0x0303
   1310.421000 #55194    cpu1 RAD.WR   addr=0x0647 val=0x36e2
   1310.421000 #55195    cpu1 RAD.WR   addr=0x0649 val=0x6000
   1310.421000 #55196    cpu1 RAD.WR   addr=0x064a val=0x0003
   1310.421000 #55197    cpu1 RAD.WR   addr=0x065e val=0x0ff4
   1310.421000 #55198    cpu1 RAD.WR   addr=0x0666 val=0x0b2d
   1310.421000 #55199    cpu1 RAD.WR   addr=0x0667 val=0x03ff
   1310.421000 #55200    cpu1 RAD.WR   addr=0x0115 val=0x3337
   1310.421000 #55201    cpu1 RAD.WR   addr=0x0117 val=0x1337
   1310.421000 #55202    cpu1 RAD.WR   addr=0x0718 val=0x7777
   1310.421000 #55203    cpu1 RAD.WR   addr=0x071c val=0x1000
   1310.421000 #55204    cpu1 RAD.WR   addr=0x0726 val=0x0100
   1310.421000 #55205    cpu1 RAD.WR   addr=0x0727 val=0x0002
   1310.421000 #55206    cpu1 RAD.WR   addr=0x0761 val=0x0100
   1310.421000 #55207    cpu1 RAD.WR   addr=0x0407 val=0x8382
   1310.421000 #55208    cpu1 RAD.WR   addr=0x055e val=0x0020
   1310.421000 #55209    cpu1 RAD.WR   addr=0x0885 val=0x0700
   1310.421000 #55210    cpu1 RAD.WR   addr=0x08e9 val=0x01ce
   1310.421000 #55211    cpu1 RAD.WR   addr=0x08ea val=0x00ff
   1310.421000 #55212    cpu1 RAD.WR   addr=0x08ec val=0x06ff
   1310.421000 #55213    cpu1 RAD.WR   addr=0x0972 val=0x0600
   1310.421000 #55214    cpu1 RAD.MOD  addr=0x096b val=0x0800 mask=0x0800
   1310.421000 #55215    cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1310.421000 #55216    cpu1 RAD.WR   addr=0x096b val=0x0800
   1310.421000 #55217    cpu1 RAD.MOD  addr=0x096b val=0x4000 mask=0x4000
   1310.421000 #55218    cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1310.421000 #55219    cpu1 RAD.WR   addr=0x096b val=0x4800
   1310.421000 #55220    cpu1 RAD.MOD  addr=0x096c val=0x0800 mask=0x0800
   1310.421000 #55221    cpu1 RAD.RD   addr=0x096c val=UNDEFINED
   1310.421000 #55222    cpu1 RAD.WR   addr=0x096c val=0x0800
   1310.421000 #55223    cpu1 RAD.MOD  addr=0x096b val=0x8000 mask=0x8000
   1310.421000 #55224    cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1310.422000 #55225    cpu1 RAD.WR   addr=0x096b val=0xc800
   1310.422000 #55226    cpu1 RAD.MOD  addr=0x096b val=0x1000 mask=0x1000
   1310.422000 #55227    cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1310.422000 #55228    cpu1 RAD.WR   addr=0x096b val=0xd800
   1310.422000 #55229    cpu1 RAD.MOD  addr=0x096b val=0x0004 mask=0x0004
   1310.422000 #55230    cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1310.422000 #55231    cpu1 RAD.WR   addr=0x096b val=0xd804
   1310.422000 #55232    cpu1 RAD.MOD  addr=0x0407 val=0x0002 mask=0x0002
   1310.422000 #55233    cpu1 RAD.RD   addr=0x0407 val=UNDEFINED
   1310.422000 #55234    cpu1 RAD.WR   addr=0x0407 val=0x8302
   1310.422000 #55235    cpu1 RAD.MOD  addr=0x055e val=0x0010 mask=0x0010
   1310.422000 #55236    cpu1 RAD.RD   addr=0x055e val=UNDEFINED
   1310.422000 #55237    cpu1 RAD.WR   addr=0x055e val=0x0030
   1310.422000 #55238    cpu1 RAD.MOD  addr=0x0126 val=0x0100 mask=0x0300
   1310.422000 #55239    cpu1 RAD.RD   addr=0x0126 val=UNDEFINED
   1310.422000 #55240    cpu1 RAD.WR   addr=0x0126 val=0x0100
   1310.422000 #55241    cpu1 RAD.MOD  addr=0x0127 val=0x0002 mask=0x0003
   1310.422000 #55242    cpu1 RAD.RD   addr=0x0127 val=UNDEFINED
   1310.422000 #55243    cpu1 RAD.WR   addr=0x0127 val=0x0002
   1310.422000 #55244    cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0004
   1310.422000 #55245    cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1310.422000 #55246    cpu1 RAD.WR   addr=0x006f val=0x0000
   1310.422000 #55247    cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0001
   1310.422000 #55248    cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1310.422000 #55249    cpu1 RAD.WR   addr=0x006f val=0x0000
