    616.016000 #33124    cpu0 MAC.MCTRL val=0x00000000 mask=0x00000001
    616.016000 #33125    cpu0 PHY.RD   addr=0x07af val=0x00000000
    616.016000 #33127    cpu0 PHY.RD   addr=0x07b3 val=0x00000000
    616.016000 #33129    cpu0 PHY.RD   addr=0x07ab val=0x000007dd
    616.016000 #33131    cpu0 PHY.RD   addr=0x07b1 val=0x00005b8e
    616.016000 #33133    cpu0 PHY.RD   addr=0x09af val=0x00000000
    616.016000 #33135    cpu0 PHY.RD   addr=0x09b3 val=0x00000000
    616.016000 #33137    cpu0 PHY.RD   addr=0x09ab val=0x000007e2
    616.016000 #33139    cpu0 PHY.RD   addr=0x09b1 val=0x00005b8e
    616.016000 #33141    cpu0 PHY.RD   addr=0x0523 val=0x00000000
    616.016000 #33143    cpu0 PHY.RD   addr=0x0529 val=0x00000000
    616.016000 #33145    cpu0 PHY.RD   addr=0x0528 val=0x00000000
    616.016000 #33147    cpu0 PHY.RD   addr=0x0527 val=0x00000000
    616.016000 #33149    cpu0 MAC.MCTRL val=0x00000001 mask=0x00000001
    616.016000 #33150    cpu0 OBJ.WR   addr=0x0308 val=0x0000 sel=0x10000
    616.016000 #33151    cpu0 OBJ.WR   addr=0x030a val=0x0000 sel=0x10000
    616.016000 #33152    cpu0 OBJ.WR   addr=0x030c val=0x0000 sel=0x10000
    616.016000 #33153    cpu0 OBJ.WR   addr=0x030e val=0x0000 sel=0x10000
    616.016000 #33154    cpu0 OBJ.WR   addr=0x0310 val=0x0000 sel=0x10000
    616.016000 #33155    cpu0 OBJ.WR   addr=0x0312 val=0x0000 sel=0x10000
    616.016000 #33156    cpu0 MAC.MCTRL val=0x00000000 mask=0x00000001
    616.016000 #33157    cpu0 PHY.MOD  addr=0x0520 val=0x0004 mask=0x000c
    616.016000 #33158    cpu0 MAC.MCTRL val=0x00000001 mask=0x00000001
    616.016000 #33159    cpu0 OBJ.RD   addr=0x010e val=0x00000000 sel=0x10000
    616.016000 #33161    cpu0 OBJ.RD   addr=0x0158 val=0x00000000 sel=0x10000
    616.016000 #33163    cpu0 OBJ.RD   addr=0x010c val=0x00000000 sel=0x10000
    616.016000 #33165    cpu0 OBJ.RD   addr=0x015e val=0x00000000 sel=0x10000
    616.016000 #33167    cpu0 OBJ.RD   addr=0x0768 val=0x0000cfd4 sel=0x10000
    616.016000 #33169    cpu0 OBJ.RD   addr=0x076a val=0x00000000 sel=0x10000
