   1825.001000 #1211603  cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1825.001000 #1211604  cpu1 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
   1825.001000 #1211605  cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1825.001000 #1211606  cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1825.002000 #1211607  cpu1 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
   1825.002000 #1211608  cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1825.002000 #1211609  cpu1 MAC.MCTRL val=0x04000404 mask=0xffffffff
   1825.002000 #1211610  cpu1 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
   1825.002000 #1211611  cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
   1825.002000 #1211612  cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
   1825.002000 #1211613  cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
   1825.002000 #1211614  cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
   1825.002000 #1211615  cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
   1825.002000 #1211616  cpu1 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
   1825.002000 #1211617  cpu1 MAC.MCTRL val=0x04020402 mask=0xffffffff
   1825.002000 #1211618  cpu1 MAC.MCTRL val=0x00000000 mask=0x0000c000
   1825.002000 #1211619  cpu1 GPIO.CTL val=0x00000000 mask=0x00000000
   1825.002000 #1211620  cpu1 SI.COREREG core=0x0000 off=0x006c val=UNDEFINED
   1825.002000 #1211621  cpu1 ARGX     for=#1211620 a5=0x00000000 a6=0x00000000
   1825.002000 #1211622  cpu1 RETVAL   for=#1211620 val=0x00000000
   1825.042000 #1211623  cpu1 OBJ.WR   addr=0x0080 val=0x0008
   1825.042000 #1211624  cpu1 OBJ.WR   addr=0x005c val=0x000a
   1825.042000 #1211625  cpu1 MAC.MCTRL val=0x40020000 mask=0x40060000
   1825.043000 #1211626  cpu1 OBJ.WR   addr=0x0016 val=0x002a
   1825.043000 #1211627  cpu1 OBJ.WR   addr=0x00c0 val=0x8c05
   1825.043000 #1211628  cpu1 OBJ.WR   addr=0x00c2 val=0x3051
   1825.043000 #1211629  cpu1 OBJ.WR   addr=0x0044 val=0x0003
   1825.043000 #1211630  cpu1 OBJ.WR   addr=0x0046 val=0x0002
   1825.048000 #1211631  cpu1 OBJ.RD   addr=0x0092 val=UNDEFINED
   1825.048000 #1211632  cpu1 RETVAL   for=#1211631 val=0x00000aa6
   1825.054000 #1211633  cpu1 OBJ.WR   addr=0x078c val=0x196c
   1825.054000 #1211634  cpu1 OBJ.WR   addr=0x078e val=0xe48f
   1825.054000 #1211635  cpu1 OBJ.WR   addr=0x0790 val=0xd8fe
   1825.054000 #1211636  cpu1 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
   1825.054000 #1211637  cpu1 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   1825.054000 #1211638  cpu1 ARGX     for=#1211637 a5=0x00000002 a6=0x00000000
   1825.054000 #1211639  cpu1 RETVAL   for=#1211637 val=0x00000002
   1825.054000 #1211640  cpu1 SI.COREREG core=0x0000 off=0x0664 val=UNDEFINED
   1825.054000 #1211641  cpu1 ARGX     for=#1211640 a5=0x00000000 a6=0x00000000
   1825.054000 #1211642  cpu1 RETVAL   for=#1211640 val=0x00000c31
   1825.054000 #1211643  cpu1 RETVAL   for=#1211636 val=0x00000c31
   1825.054000 #1211644  cpu1 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
   1825.054000 #1211645  cpu1 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   1825.054000 #1211646  cpu1 ARGX     for=#1211645 a5=0x00000003 a6=0x00000000
   1825.054000 #1211647  cpu1 RETVAL   for=#1211645 val=0x00000003
   1825.054000 #1211648  cpu1 SI.COREREG core=0x0000 off=0x0664 val=UNDEFINED
   1825.054000 #1211649  cpu1 ARGX     for=#1211648 a5=0x00000000 a6=0x00000000
   1825.054000 #1211650  cpu1 RETVAL   for=#1211648 val=0x00133333
   1825.054000 #1211651  cpu1 RETVAL   for=#1211644 val=0x00133333
   1825.054000 #1211652  cpu1 OBJ.WR   addr=0x005e val=0x2100
   1825.054000 #1211653  cpu1 OBJ.WR   addr=0x0060 val=0x0000
   1825.054000 #1211654  cpu1 OBJ.WR   addr=0x0062 val=0x0060
   1825.054000 #1211655  cpu1 OBJ.WR   addr=0x0078 val=0x0060
   1825.054000 #1211656  cpu1 OBJ.WR   addr=0x00d4 val=0x0088
   1825.054000 #1211657  cpu1 OBJ.WR   addr=0x00a0 val=0xe07a
   1825.054000 #1211658  cpu1 PHY.RD   addr=0x0728 val=UNDEFINED
   1825.054000 #1211659  cpu1 RETVAL   for=#1211658 val=0x00000000
   1825.054000 #1211660  cpu1 PHY.RD   addr=0x0408 val=UNDEFINED
   1825.054000 #1211661  cpu1 RETVAL   for=#1211660 val=0x00000c02
   1825.054000 #1211662  cpu1 PHY.WR   addr=0x0415 val=0x0000
   1825.054000 #1211663  cpu1 PHY.WR   addr=0x040e val=0x0000
   1825.054000 #1211664  cpu1 PHY.WR   addr=0x040c val=0x2000
   1825.054000 #1211665  cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1825.054000 #1211666  cpu1 PHY.WR   addr=0x0417 val=0x0000
   1825.054000 #1211667  cpu1 PHY.WR   addr=0x0416 val=0x000d
   1825.054000 #1211668  cpu1 PHY.WR   addr=0x0728 val=0x0000
   1825.054000 #1211669  cpu1 PHY.RD   addr=0x0720 val=UNDEFINED
   1825.054000 #1211670  cpu1 RETVAL   for=#1211669 val=0x000003ff
   1825.054000 #1211671  cpu1 PHY.WR   addr=0x0720 val=0x03ff
   1825.054000 #1211672  cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1825.055000 #1211673  cpu1 PHY.WR   addr=0x0408 val=0x0c01
   1825.055000 #1211674  cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1825.055000 #1211675  cpu1 RAD.WR   addr=0x063a val=0x0000
   1825.055000 #1211676  cpu1 RAD.WR   addr=0x063d val=0x000f
   1825.055000 #1211677  cpu1 RAD.WR   addr=0x0645 val=0x3000
   1825.055000 #1211678  cpu1 RAD.WR   addr=0x0646 val=0x0303
   1825.055000 #1211679  cpu1 RAD.WR   addr=0x0647 val=0x36e2
   1825.055000 #1211680  cpu1 RAD.WR   addr=0x0649 val=0x6000
   1825.055000 #1211681  cpu1 RAD.WR   addr=0x064a val=0x0003
   1825.055000 #1211682  cpu1 RAD.WR   addr=0x0666 val=0x0b2d
   1825.055000 #1211683  cpu1 RAD.WR   addr=0x0115 val=0x3337
   1825.055000 #1211684  cpu1 RAD.WR   addr=0x0117 val=0x1337
   1825.055000 #1211685  cpu1 RAD.WR   addr=0x0718 val=0x7777
   1825.055000 #1211686  cpu1 RAD.WR   addr=0x071c val=0x1000
   1825.055000 #1211687  cpu1 RAD.WR   addr=0x0726 val=0x0100
   1825.055000 #1211688  cpu1 RAD.WR   addr=0x0727 val=0x0002
   1825.055000 #1211689  cpu1 RAD.WR   addr=0x0761 val=0x0100
   1825.055000 #1211690  cpu1 RAD.WR   addr=0x0407 val=0x8382
   1825.055000 #1211691  cpu1 RAD.WR   addr=0x055e val=0x0020
   1825.055000 #1211692  cpu1 RAD.WR   addr=0x0885 val=0x0700
   1825.055000 #1211693  cpu1 RAD.WR   addr=0x08e9 val=0x01ce
   1825.055000 #1211694  cpu1 RAD.WR   addr=0x08ea val=0x00ff
   1825.055000 #1211695  cpu1 RAD.WR   addr=0x08ec val=0x06ff
   1825.055000 #1211696  cpu1 RAD.WR   addr=0x0972 val=0x0600
   1825.055000 #1211697  cpu1 RAD.MOD  addr=0x096b val=0x0800 mask=0x0800
