   1304.440000 #1        cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1304.440000 #2        cpu0 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
   1304.440000 #3        cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1304.441000 #4        cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1304.441000 #5        cpu0 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
   1304.441000 #6        cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1304.441000 #7        cpu0 MAC.MCTRL val=0x04000404 mask=0xffffffff
   1304.441000 #8        cpu0 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
   1304.441000 #9        cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
   1304.441000 #10       cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
   1304.441000 #11       cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
   1304.442000 #12       cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
   1304.442000 #13       cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
   1304.442000 #14       cpu0 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
   1304.442000 #15       cpu0 MAC.MCTRL val=0x04020402 mask=0xffffffff
   1304.442000 #16       cpu0 MAC.MCTRL val=0x00000000 mask=0x0000c000
   1304.442000 #17       cpu0 GPIO.CTL val=0x00000000 mask=0x00000000
   1304.442000 #18       cpu0 SI.COREREG core=0x0000 off=0x006c val=UNDEFINED
   1304.442000 #19       cpu0 ARGX     for=#18 a5=0x00000000 a6=0x00000000
   1304.442000 #20       cpu0 RETVAL   for=#18 val=0x00000000
   1304.482000 #21       cpu0 OBJ.WR   addr=0x0080 val=0x0008
   1304.482000 #22       cpu0 OBJ.WR   addr=0x005c val=0x000a
   1304.482000 #23       cpu0 MAC.MCTRL val=0x40020000 mask=0x40060000
   1304.482000 #24       cpu0 OBJ.WR   addr=0x0016 val=0x002a
   1304.482000 #25       cpu0 OBJ.WR   addr=0x00c0 val=0x8c05
   1304.483000 #26       cpu0 OBJ.WR   addr=0x00c2 val=0x3051
   1304.483000 #27       cpu0 OBJ.WR   addr=0x0044 val=0x0003
   1304.483000 #28       cpu0 OBJ.WR   addr=0x0046 val=0x0002
   1304.488000 #29       cpu0 OBJ.RD   addr=0x0092 val=UNDEFINED
   1304.488000 #30       cpu0 RETVAL   for=#29 val=0x00000aa6
   1304.494000 #31       cpu0 OBJ.WR   addr=0x078c val=0x196c
